source_center,destination_center,route_type,time_of_day,median_segment_factor,median_segment_actual_time,median_segment_osrm_time,median_segment_osrm_distance,trip_count,source_name,destination_name
IND160002AAC,IND562132AAA,FTL,Evening,1.5,35.0,19.0,27.6192,81,Chandigarh_Mehmdpur_H (Punjab),Bangalore_Nelmngla_H (Karnataka)
IND160003AAA,IND160002AAC,Carting,Morning,2.611111111111111,21.0,8.5,9.549600000000002,4,Chandigarh (Chandigarh),Chandigarh_Mehmdpur_H (Punjab)
IND160055AAA,IND160002AAC,Carting,Night,1.0121951219512195,11.0,11.0,9.05935,76,Chandigarh_Mohali (Chandigarh),Chandigarh_Mehmdpur_H (Punjab)
IND160102AAC,IND160002AAC,Carting,Afternoon,1.9166666666666665,14.0,10.0,9.95475,40,Chandigarh_Raiprvlg_L (Chandigarh),Chandigarh_Mehmdpur_H (Punjab)
IND160102AAC,IND160002AAC,Carting,Morning,1.6285714285714286,14.0,8.5,9.8796,8,Chandigarh_Raiprvlg_L (Chandigarh),Chandigarh_Mehmdpur_H (Punjab)
IND160102AAC,IND160002AAC,Carting,Night,1.6666666666666667,14.0,9.0,9.72725,64,Chandigarh_Raiprvlg_L (Chandigarh),Chandigarh_Mehmdpur_H (Punjab)
IND160102AAD,IND160002AAC,Carting,Night,1.8333333333333333,12.0,9.0,9.909,39,Chandigarh_Raiprkln_C (Chandigarh),Chandigarh_Mehmdpur_H (Punjab)
IND160102AAD,IND160002AAD,Carting,Afternoon,1.5166666666666666,14.0,9.5,10.2623,12,Chandigarh_Raiprkln_C (Chandigarh),Chandigarh_Mehmdpur_P (Punjab)
IND173025AAA,IND160002AAC,FTL,Evening,2.1634408602150534,57.5,27.0,29.64575,44,PaontSahib_Gurudwar_D (Himachal Pradesh),Chandigarh_Mehmdpur_H (Punjab)
IND173212AAA,IND134102AAA,FTL,Evening,3.8484848484848486,127.0,33.0,43.25705000000001,2,Solan_MohanPrk_D (Himachal Pradesh),Kalka_Pinjore_DC (Haryana)
IND173212AAA,IND160002AAC,FTL,Evening,2.0105263157894737,191.0,95.0,101.7296,1,Solan_MohanPrk_D (Himachal Pradesh),Chandigarh_Mehmdpur_H (Punjab)
IND173212AAA,IND173220AAA,FTL,Evening,3.3076923076923075,86.0,28.0,36.8201,5,Solan_MohanPrk_D (Himachal Pradesh),Parwanoo_Central_D_1 (Himachal Pradesh)
IND173212AAA,IND174103AAA,FTL,Night,3.9,81.0,24.0,29.3899,2,Solan_MohanPrk_D (Himachal Pradesh),Baddi_ByePass_D (Himachal Pradesh)
IND173220AAA,IND173212AAA,FTL,Evening,3.53125,113.0,32.0,41.0419,1,Parwanoo_Central_D_1 (Himachal Pradesh),Solan_MohanPrk_D (Himachal Pradesh)
IND173220AAA,IND174103AAA,FTL,Evening,2.628571428571429,49.0,18.0,21.279449999999997,2,Parwanoo_Central_D_1 (Himachal Pradesh),Baddi_ByePass_D (Himachal Pradesh)
IND174001AAA,IND175018AAA,FTL,Evening,2.5185185185185186,67.0,26.0,37.624,16,BilaspurHP_Indsarea_D (Himachal Pradesh),SundarNgr_Bhogpur_D (Himachal Pradesh)
IND174021AAA,IND176048AAA,FTL,Morning,2.4512820512820515,68.0,28.0,28.565450000000002,2,Ghumarwin_Gndhichk_D (Himachal Pradesh),Jahu_Sulgwan_D (Himachal Pradesh)
IND174021AAA,IND176048AAA,FTL,Night,1.945925925925926,50.5,26.5,28.26305,10,Ghumarwin_Gndhichk_D (Himachal Pradesh),Jahu_Sulgwan_D (Himachal Pradesh)
IND174101AAB,IND134102AAA,FTL,Evening,2.6125,27.5,10.5,15.13325,2,Nalagarh_Central_DPP_2 (Himachal Pradesh),Kalka_Pinjore_DC (Haryana)
IND174101AAB,IND160002AAC,FTL,Evening,3.133928571428571,35.0,25.0,24.7106,44,Nalagarh_Central_DPP_2 (Himachal Pradesh),Chandigarh_Mehmdpur_H (Punjab)
IND174103AAA,IND160002AAC,FTL,Evening,2.1921739130434785,49.5,25.0,23.89685,18,Baddi_ByePass_D (Himachal Pradesh),Chandigarh_Mehmdpur_H (Punjab)
IND174307AAA,IND176041AAA,FTL,Evening,1.120094191522763,56.5,50.5,32.7238,2,Bangana_Bhaleti_D (Himachal Pradesh),Bhota_BpassDPP_D (Himachal Pradesh)
IND174307AAA,IND176041AAA,FTL,Night,1.0377358490566038,57.0,54.0,36.4446,15,Bangana_Bhaleti_D (Himachal Pradesh),Bhota_BpassDPP_D (Himachal Pradesh)
IND175001AAA,IND175101AAA,FTL,Evening,1.4201977401129944,73.5,48.5,33.105900000000005,34,Mandi_PlaceCol_D (Himachal Pradesh),Kullu_AkhraBzr_D (Himachal Pradesh)
IND175015AAA,IND174001AAA,FTL,Morning,2.0357142857142856,81.5,37.0,32.179249999999996,8,JognderNgr_Dhelu_D (Himachal Pradesh),BilaspurHP_Indsarea_D (Himachal Pradesh)
IND175015AAA,IND174001AAA,FTL,Night,1.9454545454545455,75.0,38.0,32.8218,41,JognderNgr_Dhelu_D (Himachal Pradesh),BilaspurHP_Indsarea_D (Himachal Pradesh)
IND175018AAA,IND175001AAA,FTL,Evening,2.9333333333333336,43.5,15.0,22.1319,16,SundarNgr_Bhogpur_D (Himachal Pradesh),Mandi_PlaceCol_D (Himachal Pradesh)
IND175101AAA,IND160002AAC,FTL,Evening,1.7233400402414487,66.5,27.5,28.798450000000003,32,Kullu_AkhraBzr_D (Himachal Pradesh),Chandigarh_Mehmdpur_H (Punjab)
IND176048AAA,IND175015AAA,FTL,Morning,1.6111111111111112,70.0,45.0,35.2036,5,Jahu_Sulgwan_D (Himachal Pradesh),JognderNgr_Dhelu_D (Himachal Pradesh)
IND176048AAA,IND175015AAA,FTL,Night,2.1025641025641026,77.0,43.0,33.3726,27,Jahu_Sulgwan_D (Himachal Pradesh),JognderNgr_Dhelu_D (Himachal Pradesh)
IND176061AAA,IND160002AAC,FTL,Evening,1.4194444444444443,40.5,27.5,27.7729,18,Palampur_Cnsrvila_D (Himachal Pradesh),Chandigarh_Mehmdpur_H (Punjab)
IND176110AAB,IND177033AAA,FTL,Night,2.1,63.0,30.0,27.3424,9,Sujanpur_SainkSCL_D (Himachal Pradesh),Nadaun_Ward6_D (Himachal Pradesh)
IND176201AAA,IND176303AAA,FTL,Morning,1.4830357142857142,58.0,43.5,32.36985,18,Jassur_AadiDPP_D (Himachal Pradesh),Dalhousie_Banikhet_D (Himachal Pradesh)
IND176215AAA,IND176061AAA,FTL,Evening,1.8898550724637682,36.0,23.0,16.614900000000002,6,Dharamshala_GrudwrRd_D (Himachal Pradesh),Palampur_Cnsrvila_D (Himachal Pradesh)
IND176303AAA,IND176310AAA,FTL,Morning,1.335704291044776,90.0,69.0,45.695350000000005,10,Dalhousie_Banikhet_D (Himachal Pradesh),Chamba_Bangotu_D (Himachal Pradesh)
IND176310AAA,IND145001AAA,FTL,Morning,1.2,78.0,55.0,41.5306,39,Chamba_Bangotu_D (Himachal Pradesh),Pathankot_DC (Punjab)
IND177001AAA,IND176110AAB,FTL,Night,1.8095238095238095,38.0,22.0,24.0675,7,Hamirpur_GutmgrCl_D (Himachal Pradesh),Sujanpur_SainkSCL_D (Himachal Pradesh)
IND177033AAA,IND160002AAC,FTL,Evening,2.026315789473684,45.0,24.5,27.31905,8,Nadaun_Ward6_D (Himachal Pradesh),Chandigarh_Mehmdpur_H (Punjab)
IND177033AAA,IND160002AAC,FTL,Night,1.7222222222222223,42.0,24.0,26.31675,134,Nadaun_Ward6_D (Himachal Pradesh),Chandigarh_Mehmdpur_H (Punjab)
IND177101AAA,IND176001AAA,FTL,Evening,1.416239316239316,46.5,29.5,21.7007,4,DehraGopipur_Central_D_1 (Himachal Pradesh),Kangra_Gurkhari_D (Himachal Pradesh)
