node_id,betweenness_centrality,in_degree,out_degree,clustering_coefficient,delayed_trips,avg_delay_factor,node_name,sla_breach_score,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15
IND201306AAA,0.0,0,2,1.0,18.0,25.494291819291817,Noida_Surajpur_DC (Uttar Pradesh),0.0,-0.0016339014750705325,-0.002201564827648124,0.0014748078637689917,-0.0021592702293550983,-0.001039394206020884,0.001169326187897842,0.0005908324820181317,0.002183509811772171,0.001089975637584623,0.00020037299857828236,0.00041507505737466746,-0.0010942842252778583,-0.0029765686377631246,-0.0019932015054083224,-0.005392560473635875,-0.0013726452050483577
IND811399AAA,0.0002652435231576,1,2,0.5,246.0,1.7063492063492065,Noida_Sector02_C (Uttar Pradesh),0.0652499066967738,-0.0016339014750701892,-0.0022015648276480313,0.0014748078637693521,-0.002159270229354566,-0.001039394206021048,0.0011693261878977781,0.0005908324820180309,0.0021835098117719575,0.0010899756375818506,0.00020037299857954732,0.0004150750573758781,-0.0010942842252782412,-0.0024918183297992858,-0.001986766226540221,-0.004339063422600142,0.00221141276935391
IND403726AAB,7.297459024767576e-06,5,5,0.0,24.0,1.678584760649978,Goa_ZuariNgr_IP (Goa),0.0001751390165944,0.042741474266278646,-0.0760381256984312,-0.06178711508419943,0.056962388051636996,-0.04705044383049008,0.059803172802219404,-0.017651364309711724,-0.03134917144842327,0.04821221692768966,-0.03873571495024909,-0.0254908662064637,0.04033403314107047,3.2307084301818284e-15,3.3854854710436225e-15,-4.864441235182062e-15,8.38945083491799e-15
IND121004AAA,0.0,1,1,0.0,20.0,2.186309523809524,Faridabad_Blbgarh_DC (Haryana),0.0,-0.0016339014750701376,-0.0022015648276480543,0.001474807863769421,-0.0021592702293544873,-0.0010393942060210846,0.0011693261878977649,0.0005908324820180086,0.0021835098117719254,0.0010899756375818306,0.00020037299857952813,0.0004150750573759888,-0.0010942842252775308,-0.002307342519687559,-0.0013792472066724525,-0.0031908926474229007,-0.0008023649688353776
IND854311AAA,0.0002025044879373,2,3,0.3888888888888889,22.0,3.015663156288156,Araria_Wardn13_D (Bihar),0.0044550987346206,-0.0016339014750702313,-0.0022015648276480517,0.0014748078637692914,-0.0021592702293546056,-0.0010393942060210183,0.0011693261878977883,0.000590832482017842,0.0021835098117719883,0.0010899756375813599,0.00020037299857344495,0.0004150750573731225,-0.0010942842252782978,-0.00369593873207579,-0.0022583954135880187,-0.013428370855075318,-0.011378502648924049
IND854334AAA,0.0014159807055183,2,3,0.35,18.0,1.3078171828171827,Raniganj_Central_DPP_1 (Bihar),0.02548765269933,-0.0016339014750702359,-0.002201564827648054,0.001474807863769293,-0.002159270229354602,-0.0010393942060210153,0.0011693261878977857,0.0005908324820178478,0.0021835098117719835,0.0010899756375813544,0.0002003729985734106,0.00041507505737309336,-0.0010942842252782763,-0.0037048177031854227,-0.0022665830811916766,-0.013480286148578423,-0.011428359169620317
IND852118AAA,0.0003365588102222,2,2,0.3,5.0,2.929667519181585,Forbesganj_JhumanCk_D (Bihar),0.0016827940511114,-0.0016339014750702391,-0.0022015648276480517,0.0014748078637692905,-0.002159270229354602,-0.0010393942060210168,0.0011693261878977866,0.0005908324820178367,0.002183509811771988,0.0010899756375813616,0.0002003729985733754,0.0004150750573730897,-0.001094284225278286,-0.0037141355129292125,-0.0022751746316918334,-0.013534761339496729,-0.011480672026357318
IND852111AAA,1.4230045098296774e-06,2,4,0.2307692307692307,90.0,2.1936005693273133,Simrahi_Bazar_D (Bihar),0.0001280704058846,-0.0016339014750702333,-0.0022015648276480513,0.0014748078637692923,-0.0021592702293546087,-0.0010393942060210192,0.001169326187897785,0.0005908324820178378,0.002183509811771986,0.001089975637581361,0.00020037299857339299,0.00041507505737308447,-0.0010942842252782907,-0.0037115498062112126,-0.0022727908224065762,-0.013519647115321984,-0.01146615866515248
IND854335AAA,0.0003368324649357,2,3,0.2777777777777778,34.0,3.1220238095238098,Narpatganj_Central_DPP_1 (Bihar),0.0114523038078141,-0.001633901475070232,-0.0022015648276480578,0.0014748078637692912,-0.0021592702293546104,-0.0010393942060210183,0.001169326187897784,0.000590832482017833,0.0021835098117719866,0.0010899756375813622,0.00020037299857338483,0.00041507505737307476,-0.001094284225278286,-0.0037158457365373586,-0.0022767580450419812,-0.013544809147061165,-0.011490337631617885
IND600056AAA,0.0004061035947283,1,1,0.0,14.0,3.0,Chennai_Poonamallee (Tamil Nadu),0.0056854503261964,-0.0016339014750701218,-0.002201564827649312,0.0014748078637698248,-0.0021592702293535175,-0.0010393942060209832,0.001169326187897803,0.0005908324820181419,0.002183509811771872,0.0010899756375806178,0.00020037299857899273,0.00041507505737602444,-0.0010942842252773721,0.0003949185783591079,0.005191495433451369,0.0005090640726720696,-0.0043060756930077704
