node_id,betweenness_centrality,in_degree,out_degree,clustering_coefficient,delayed_trips,avg_delay_factor,node_name,sla_breach_score
IND305404AAA,0.0028186435483164764,1,2,0.16666666666666666,42.0,1.5159090909090907,Kekri_LxmntDPP_D (Rajasthan),0.11838302902929201
IND305601AAC,0.0,1,1,0.5,20.0,1.9411764705882355,Nasirabad_Central_DPP_2 (Rajasthan),0.0
IND500039AAC,0.004838215333420903,5,4,0.014705882352941176,78.0,2.5231435231435233,Hyderabad_Uppal_I (Telangana),0.3773807960068304
IND508116AAA,0.0008103828247004393,1,2,0.3333333333333333,3.0,1.2222222222222223,Bhuvanagiri_HBColny_D (Telangana),0.0024311484741013183
IND508277AAB,0.0,1,1,0.5,12.0,1.3798076923076923,Mothkur_Mainroad_D (Telangana),0.0
IND508223AAA,0.0008060043492855786,2,1,0.3333333333333333,68.0,1.6527777777777777,Thirumalagiri_Xroad_D (Telangana),0.05480829575141934
IND815353AAA,0.000637585076209786,2,3,0.3888888888888889,36.0,1.6841658885776531,Madhupur_Sitarmrd_D (Jharkhand),0.022953062743552296
IND507002AAA,0.004620006974285853,5,7,0.15873015873015872,100.0,2.080824368556567,Khammam_NSTRoad_I (Telangana),0.4620006974285853
IND508206AAA,2.2000970214552225e-05,3,3,0.6666666666666666,38.0,1.8291666666666666,Kodad_VidyaNgr_D (Telangana),0.0008360368681529846
IND400072AAB,0.005096989588073906,11,11,0.11659192825112108,709.0,2.7510917295402084,Mumbai Hub (Maharashtra),3.6137656179443995
IND302014AAB,0.00010325904520046121,9,12,0.00980392156862745,342.0,2.125099345099345,Jaipur_Central_I_7 (Rajasthan),0.03531459345855773
IND781018AAB,0.04454168000458818,17,15,0.011293634496919919,1554.0,1.9286508506676912,Guwahati_Hub (Assam),69.21777072713003
IND363641AAA,0.0,0,2,0.5,25.0,1.4547008547008549,Morbi_DC (Gujarat),0.0
IND363621AAB,0.0,1,1,0.5,8.0,1.7181818181818185,Wankaner_JivanDPP_D (Gujarat),0.0
IND560078AAC,0.0,3,2,1.0,73.0,1.9912698412698413,BLR_JPNagar_Pc (Karnataka),0.0
IND560300AAA,0.0056324829361083135,4,12,0.2606837606837607,979.0,1.7552078726227334,Bengaluru_KGAirprt_HB (Karnataka),5.514200794450039
IND712311AAA,0.09065944258450838,24,22,0.03225806451612903,2612.0,2.4687779292106367,Kolkata_Dankuni_HB (West Bengal),236.80246403073588
IND751002AAB,0.02158710036050378,13,6,0.08333333333333333,1469.0,2.613373012150102,Bhubaneshwar_Hub (Orissa),31.711450429580054
IND301001AAB,0.00322748369017908,5,3,0.17307692307692307,72.0,1.826782531194296,Alwar_Central_I_1 (Rajasthan),0.23237882569289375
IND321001AAB,0.0006071485908606623,1,2,0.3333333333333333,12.0,1.3043478260869563,Bharatpur_NraynDPP_D (Rajasthan),0.007285783090327948
IND321001AAA,0.00040336704759402775,2,2,0.3333333333333333,21.0,1.3995859213250519,Bharatpur_DC (Rajasthan),0.008470707999474582
IND321408AAB,0.0,0,2,1.0,12.0,2.390831964969896,Weir_BsstdDPP_D (Rajasthan),0.0
IND321606AAA,0.00020286936088853862,2,2,0.4,24.0,2.04576323506714,Kherli_GodamDPP_D (Rajasthan),0.004868864661324927
IND712310AAE,0.0032586803275099613,5,4,0.1323529411764706,153.0,3.2496392496392494,Kolkata_North_I_4 (West Bengal),0.4985780901090241
IND711303AAA,0.0016302523461330766,1,1,0.5,8.0,1.239247311827957,Bagnan_Harop_D (West Bengal),0.013042018769064613
IND721134AAB,0.001225243370258476,1,2,0.16666666666666666,36.0,1.582473544973545,Kolaghat_Central_DPP_2 (West Bengal),0.044108761329305135
IND110037AAM,0.04133064983259052,21,24,0.04350051177072672,2001.0,1.8851430954993535,Delhi_Airport_H (Delhi),82.70263031501364
IND781005AAA,0.0,1,1,0.0,20.0,2.253565062388592,Guwahati_North (Assam),0.0
