node_id,node_name
IND785112AAC,Teok_Wardno3_D (Assam)
IND785634AAA,Mariani_Mainroad_D (Assam)
IND560060AAB,Bengaluru_Kengeri_IP (Karnataka)
IND843301AAA,Sitamari_Durma_D (Bihar)
IND847223AAA,Benipatti_WardNo1_D (Bihar)
IND262405AAA,Sitarganj_SidculRd_D (Uttarakhand)
IND000000AFJ,Trivandrum_Pettah_D (Kerala)
IND695121AAA,Neyatinkra_Arlumodu_D (Kerala)
IND695572AAB,Kallikkad_Mutyvila_D (Kerala)
IND415409AAB,Islampur_Shantanu_D (Maharashtra)
IND415124AAA,Karad_Mundhe_D (Maharashtra)
IND415605AAA,Chiplun_LxmiNiws_D (Maharashtra)
IND700088AAA,Kolkata_TrtllaRD_L (West Bengal)
IND000000ADV,Chennai_Mdhavram_C (Tamil Nadu)
IND302006AAA,Jaipur (Rajasthan)
IND466001AAA,Sehore_Mangalam_D (Madhya Pradesh)
IND466116AAA,Ashta_ShantiNg_D (Madhya Pradesh)
IND410505AAB,Rajgurunagar_Chakan_D (Maharashtra)
IND410501AAF,Talegaon_Central_DPP_4 (Maharashtra)
IND713128AAB,Guskhara_Itachnda_D (West Bengal)
IND600116AAB,Chennai_Porur_DPC (Tamil Nadu)
IND602024AAA,Chennai_Vepmpttu_DC (Tamil Nadu)
IND602001AAA,Chennai_Thiruvlr_DC (Tamil Nadu)
IND160102AAD,Chandigarh_Raiprkln_C (Chandigarh)
IND400072AAD,Mumbai_Chndivli_PC (Maharashtra)
IND401104AAA,Mumbai_MiraRd_IP (Maharashtra)
IND401209AAB,Mumbai_Vasai_CP (Maharashtra)
IND577002AAA,Davangere_Central_I_1 (Karnataka)
IND581115AAC,Ranebennur_SriRmNGR_D (Karnataka)
IND581110AAE,Haveri_GuttalRD_D (Karnataka)
IND211002AAB,Allahabad_Central_H_1 (Uttar Pradesh)
IND636102AAA,Attur_KaaduRd_D (Tamil Nadu)
IND174001AAA,BilaspurHP_Indsarea_D (Himachal Pradesh)
IND175018AAA,SundarNgr_Bhogpur_D (Himachal Pradesh)
IND175001AAA,Mandi_PlaceCol_D (Himachal Pradesh)
IND175101AAA,Kullu_AkhraBzr_D (Himachal Pradesh)
IND686028AAB,Kottayam_Central_H_1 (Kerala)
IND690548AAA,Haripad_Kumrpurm_D (Kerala)
IND688009AAA,Alappuzha_Pazhvedu_D (Kerala)
IND625531AAA,Theni_Rathnam_D (Tamil Nadu)
IND625516AAA,Cumbum_LFRoad_D (Tamil Nadu)
IND685514AAA,Kattappana_Palikval_D (Kerala)
IND313001AAB,Udaipur_Mangri_I (Rajasthan)
IND572101AAA,Tumkur_Veersagr_I (Karnataka)
IND561203AAB,Doddablpur_ChikaDPP_D (Karnataka)
IND562101AAA,Chikblapur_ShntiSgr_D (Karnataka)
IND561207AAB,Bagepalli_TBCross_D (Karnataka)
IND639001AAA,Karur (Tamil Nadu)
IND421502AAA,Mumbai_Ambernath_Dc (Maharashtra)
